XLabel.Wavenumber
YLabel.%Transmittance
FileType.%Transmittance
DisplayDirection.20300
PeakDirection.20311
1321,341263.-13,314089
1323,204932.-13,430606
1325,068601.-13,617111
1326,932270.-13,812877
1328,795939.-13,917689
1330,659608.-14,055206
1332,523277.-14,153738
1334,386946.-14,076830
1336,250615.-13,954553
1338,114284.-13,832546
1339,977952.-13,661444
1341,841621.-13,453561
1343,705290.-13,311214
1345,568959.-13,374087
1347,432628.-13,667322
1349,296297.-13,968522
1351,159966.-14,234046
1353,023635.-14,598321
1354,887304.-15,040766
1356,750973.-15,414510
1358,614642.-15,695609
1360,478311.-16,109931
1362,341980.-16,558506
1364,205648.-16,655848
1366,069317.-16,561593
1367,932986.-16,409877
1369,796655.-16,158538
1371,660324.-15,990400
1373,523993.-15,970438
1375,387662.-15,982100
1377,251331.-15,905626
1379,115000.-15,742510
1380,978669.-15,578148
1382,842338.-15,449480
1384,706007.-15,268970
1386,569675.-15,116955
1388,433344.-14,920294
1390,297013.-14,649208
1392,160682.-14,445678
1394,024351.-14,368794
1395,888020.-14,234325
1397,751689.-14,076445
1399,615358.-13,905535
1401,479027.-13,736794
1403,342696.-13,716176
1405,206365.-13,625762
1407,070034.-13,456313
1408,933702.-13,302868
1410,797371.-13,209682
1412,661040.-13,150980
1414,524709.-13,067524
1416,388378.-12,986082
1418,252047.-13,116981
1420,115716.-13,375196
1421,979385.-13,470846
1423,843054.-13,558713
1425,706723.-13,551096
1427,570392.-13,473338
1429,434061.-13,334165
1431,297729.-13,092124
1433,161398.-12,745012
1435,025067.-12,450464
1436,888736.-12,202362
1438,752405.-11,745552
1440,616074.-11,541975
1442,479743.-11,562432
1444,343412.-11,677841
1446,207081.-11,861321
1448,070750.-12,118560
1449,934419.-12,333377
1451,798088.-12,451574
1453,661757.-12,488691
1455,525425.-12,756135
1457,389094.-13,138947
1459,252763.-12,884014
1461,116432.-12,475489
1462,980101.-12,228578
1464,843770.-12,018144
1466,707439.-11,231792
1468,571108.-10,051026
1470,434777.-8,829751
1472,298446.-7,695739
1474,162115.-6,446085
1476,025784.-5,553005
1477,889452.-4,804568
1479,753121.-4,326933
1481,616790.-3,988510
1483,480459.-3,508579
1485,344128.-3,019975
1487,207797.-2,686334
1489,071466.-2,592687
1490,935135.-2,612917
1492,798804.-2,486731
1494,662473.-2,611138
1496,526142.-2,895278
1498,389811.-3,183114
1500,253479.-3,562993
1502,117148.-3,981672
1503,980817.-4,501218
1505,844486.-5,562018
1507,708155.-6,831086
1509,571824.-7,664834
1511,435493.-8,742520
1513,299162.-9,837252
1515,162831.-10,334316
1517,026500.-9,960639
1518,890169.-8,624538
1520,753838.-6,839607
1522,617507.-4,511967
1524,481175.-2,864248
1526,344844.-1,812335
1528,208513.-0,838316
1530,072182.-0,145900
1531,935851.0,264803
1533,799520.0,619020
1535,663189.1,091968
1537,526858.1,178961
1539,390527.0,964269
1541,254196.1,055436
1543,117865.1,117393
1544,981534.1,090766
1546,845202.1,124146
1548,708871.0,899143
1550,572540.0,484574
1552,436209.0,271894
1554,299878.-0,044153
1556,163547.-0,238205
1558,027216.-0,770714
1559,890885.-1,398333
1561,754554.-1,378278
1563,618223.-1,669013
1565,481892.-2,387158
1567,345561.-2,845367
1569,209229.-3,301659
1571,072898.-3,699080
1572,936567.-4,049628
1574,800236.-4,799808
1576,663905.-5,930264
1578,527574.-6,645567
1580,391243.-7,355413
1582,254912.-8,272752
1584,118581.-9,299217
1585,982250.-10,408156
1587,845919.-11,392336
1589,709588.-12,329743
1591,573256.-13,282563
1593,436925.-14,151985
1595,300594.-14,932736
1597,164263.-15,624628
1599,027932.-16,265090
1600,891601.-16,927234
1602,755270.-17,510697
1604,618939.-18,034200
1606,482608.-18,607175
1608,346277.-19,219482
1610,209946.-19,620819
1612,073615.-19,800750
1613,937284.-20,007149
1615,800952.-20,522790
1617,664621.-20,952370
1619,528290.-21,028086
1621,391959.-21,357452
1623,255628.-21,842167
1625,119297.-22,089139
1626,982966.-22,240102
1628,846635.-22,569042
1630,710304.-22,704378
1632,573973.-22,716368
1634,437642.-23,028946
1636,301311.-23,685275
1638,164979.-23,650075
1640,028648.-23,372884
1641,892317.-23,216596
1643,755986.-23,129937
1645,619655.-23,264665
1647,483324.-23,413660
1649,346993.-23,048491
1651,210662.-22,791301
1653,074331.-23,249888
1654,938000.-23,202827
1656,801669.-22,567958
1658,665338.-22,238365
1660,529006.-21,977314
1662,392675.-21,759963
1664,256344.-21,418060
1666,120013.-21,062768
1667,983682.-20,905590
1669,847351.-20,916235
1671,711020.-20,603534
1673,574689.-20,334799
1675,438358.-20,362281
1677,302027.-20,128076
1679,165696.-19,928751
1681,029365.-20,122103
1682,893034.-20,433749
1684,756702.-21,183057
1686,620371.-21,455250
1688,484040.-21,821904
1690,347709.-22,453663
1692,211378.-22,893114
1694,075047.-23,255455
1695,938716.-24,069911
1697,802385.-24,685397
1699,666054.-25,485646
1701,529723.-26,400985
1703,393392.-26,322631
1705,257061.-26,657824
1707,120729.-27,048706
1708,984398.-27,186588
1710,848067.-27,263052
